,prompt,instruction_id_list,kwargs,dataset,target
260,"Is the sentence ""Mrs. Smith is the teacher of this class."" grammatically correct? Give me exactly two different responses. Responses and only responses should be separated by 6 asterisk symbols: ******.",['combination:two_responses'],[{}],ifeval,
261,"Can you expand the following sentences: ""I have never seen a localized version of the software. I have seen an international version.""

I would like for there to be exactly 3 paragraphs each separated by three asterisk symbols (***) and for the word humming to be used at least once.","['length_constraints:number_paragraphs', 'keywords:frequency']","[{'num_paragraphs': 3}, {'relation': 'at least', 'keyword': 'humming', 'frequency': 1}]",ifeval,
262,What's the best way to get to the train station? Answer using a casual tone and markdown. Your response should be at least 300 words and in all lowercase letters.,"['length_constraints:number_words', 'change_case:english_lowercase']","[{'relation': 'at least', 'num_words': 300}, {}]",ifeval,
263,Create an itinerary for a 3-day trip to Moscow that uses the word founding less than twice. Don't add anything before and after the JSON code. Your entire output should just contain a JSON code block.,['keywords:frequency'],"[{'relation': 'less than', 'keyword': 'founding', 'frequency': 2}]",ifeval,
264,Write a facebook post about a flea market in JSON format. Do not include keywords 'flea' and 'JSON' in the response.,"['detectable_format:json_format', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['flea', 'json']}]",ifeval,
265,Write me a poem about a long lasting war. Add a postscript at the end starting with P.P.S,['detectable_content:postscript'],[{'postscript_marker': 'P.P.S'}],ifeval,
266,"Give me a poem about California. The very end of your entire response should read exactly like: your love, and thanks.",['startend:end_checker'],"[{'end_phrase': 'your love, and thanks.'}]",ifeval,
267,The Legend of the Sword and the Fairy is a movie in which Wan Wan is a villain. Write a story about Wan Wan's character in list format. Your entire response should be in English and in all capital letters.,['change_case:english_capital'],[{}],ifeval,
268,"What is a lattice? Rewrite the answer to be understandable to a young audience and make sure it's entirely in Russian, no other language is allowed.",['language:response_language'],[{'language': 'ru'}],ifeval,
269,Radcliffe was the only one who could get past the guards. What could be said about him? Please wrap your entire response in JSON format. Markdown ticks (```) are acceptable.,['detectable_format:json_format'],[{}],ifeval,
270,"Write a one week itinerary for a trip to the United States with a focus on overcoming the challenges faced by the country. Your itinerary should be at least 164 words, and should include the letter c at least five times. Your entire response should be in English, and in all capital letters.","['length_constraints:number_words', 'keywords:letter_frequency', 'change_case:english_capital']","[{'relation': 'at least', 'num_words': 164}, {'let_relation': 'at least', 'letter': 'c', 'let_frequency': 5}, {}]",ifeval,
271,"Answer the following math problem in a different language, use bullet points, and give alternative answers. Refrain from using commas in your response. Natalia was buying books for her children. She bought 2 books for $24 each, and 3 books for $36 each. How much did she pay in total?",['punctuation:no_comma'],[{}],ifeval,
